"filename", "language", "JSON", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\dark-hc.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\dark-mc.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\dark.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\design-system.css", "CSS", 0, 0, 0, 0, 134, 14, 19, 167
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\light-hc.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\light-mc.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\light.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 52
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\reset.css", "CSS", 0, 0, 0, 0, 189, 3, 2, 194
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\css\style.css", "CSS", 0, 0, 0, 0, 339, 6, 61, 406
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\img\dibujo.svg", "XML", 0, 0, 0, 87, 0, 1, 2, 90
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\index.html", "HTML", 0, 507, 0, 0, 0, 167, 18, 692
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\app.js", "JavaScript", 0, 0, 171, 0, 0, 33, 60, 264
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\fetch-data.js", "JavaScript", 0, 0, 27, 0, 0, 3, 10, 40
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\main.js", "JavaScript", 0, 0, 4, 0, 0, 4, 2, 10
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\mod-canasta-custom.js", "JavaScript", 0, 0, 36, 0, 0, 1, 3, 40
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\mod-date.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\mod-indices.js", "JavaScript", 0, 0, 16, 0, 0, 1, 3, 20
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\js\mod-version.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\package-lock.json", "JSON", 852, 0, 0, 0, 0, 0, 1, 853
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\package.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\smsua\OneDrive\Code-Codigo_Practic\Webs-desarrolladas\canastas-cba-cbt-mas-alquiler-indec\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"Total", "-", 866, 507, 256, 88, 968, 233, 189, 3107
